role,sheet,code,source,raw,seg_type,text
Giáo viên,00_CONTEXT,CTX-TENURE-EDU,Diễn giải học thuật,"Đối chiếu GV cho thấy thâm niên trong giáo dục có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy thâm niên trong giáo dục có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-GV,Điểm hội tụ liên trường,Chỉ TrA có dữ liệu trực tiếp về vai trò giáo viên.,analyst,Chỉ TrA có dữ liệu trực tiếp về vai trò giáo viên.
Giáo viên,00_CONTEXT,CTX-GV,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-GV,Phân kì nội trường,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.,analyst,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.
Giáo viên,00_CONTEXT,CTX-GV,Mức độ bằng chứng,Yếu (1/5 trường; 1/9 nguồn GV; TrD 0 nguồn),analyst,Yếu (1/5 trường; 1/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-GV,Diễn giải học thuật,"Đối chiếu GV cho thấy vai trò giáo viên có độ phủ 1/5 trường, tương ứng 1/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy vai trò giáo viên có độ phủ 1/5 trường, tương ứng 1/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-CBQL,Điểm hội tụ liên trường,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.,analyst,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.
Giáo viên,00_CONTEXT,CTX-CBQL,Điểm phân kì liên trường,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.,analyst,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.
Giáo viên,00_CONTEXT,CTX-CBQL,Diễn giải học thuật,"Đối chiếu GV cho thấy vai trò cán bộ quản lý có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy vai trò cán bộ quản lý có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-BRIDGE,Điểm hội tụ liên trường,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.,analyst,Chưa có dữ liệu trực tiếp ở bốn trường có nguồn GV.
Giáo viên,00_CONTEXT,CTX-BRIDGE,Điểm phân kì liên trường,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.,analyst,Chưa có dữ liệu; TrD không có nguồn GV trong toàn bộ bộ dữ liệu.
Giáo viên,00_CONTEXT,CTX-BRIDGE,Diễn giải học thuật,"Đối chiếu GV cho thấy vai trò cầu nối có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy vai trò cầu nối có độ phủ 0/5 trường, tương ứng 0/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-SCHOOL,Điểm hội tụ liên trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,00_CONTEXT,CTX-SCHOOL,Điểm phân kì liên trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,00_CONTEXT,CTX-SCHOOL,Phân kì nội trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,00_CONTEXT,CTX-SCHOOL,Loại quan hệ so sánh,Mã nhánh – tổng hợp từ mã con,analyst,Mã nhánh – tổng hợp từ mã con
Giáo viên,00_CONTEXT,CTX-SCHOOL,Diễn giải học thuật,"Không sử dụng riêng dòng nhánh để kết luận. Cần tổng hợp các mã con nhằm nhận diện mẫu hình liên trường về quy mô, cấp học và chương trình nhà trường.",analyst,"Không sử dụng riêng dòng nhánh để kết luận. Cần tổng hợp các mã con nhằm nhận diện mẫu hình liên trường về quy mô, cấp học và chương trình nhà trường."
Giáo viên,00_CONTEXT,CTX-SIZE,Điểm hội tụ liên trường,"Cả bốn trường có dữ liệu đều là trường liên cấp có quy mô đáng kể, nhưng không cùng cấp độ.",analyst,"Cả bốn trường có dữ liệu đều là trường liên cấp có quy mô đáng kể, nhưng không cùng cấp độ."
Giáo viên,00_CONTEXT,CTX-SIZE,Điểm phân kì liên trường,"Phân kì cấu trúc rõ: TrB quy mô dưới khoảng 500 học sinh, TrA và TrE khoảng 1.000–1.200, TrC khoảng 1.600; phạm vi số liệu giữa trường không hoàn toàn tương đương.",analyst,"Phân kì cấu trúc rõ: TrB quy mô dưới khoảng 500 học sinh, TrA và TrE khoảng 1.000–1.200, TrC khoảng 1.600; phạm vi số liệu giữa trường không hoàn toàn tương đương."
Giáo viên,00_CONTEXT,CTX-SIZE,Loại quan hệ so sánh,Phân kì rõ về quy mô trường,analyst,Phân kì rõ về quy mô trường
Giáo viên,00_CONTEXT,CTX-SIZE,Mức độ bằng chứng,Mạnh (4/5 trường; 7/9 nguồn GV; TrD 0 nguồn),analyst,Mạnh (4/5 trường; 7/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-SIZE,Diễn giải học thuật,"Quy mô ảnh hưởng đến phân quyền, số tầng giao tiếp, tổ chức lớp, nguồn lực và khả năng duy trì chương trình. Các con số là ước lượng định tính, không dùng thay số liệu hành chính.",analyst,"Quy mô ảnh hưởng đến phân quyền, số tầng giao tiếp, tổ chức lớp, nguồn lực và khả năng duy trì chương trình. Các con số là ước lượng định tính, không dùng thay số liệu hành chính."
Giáo viên,00_CONTEXT,CTX-STUDENTS,Điểm hội tụ liên trường,Cả 4 trường có nguồn GV đều cung cấp dữ liệu về quy mô học sinh.,analyst,Cả 4 trường có nguồn GV đều cung cấp dữ liệu về quy mô học sinh.
Giáo viên,00_CONTEXT,CTX-STUDENTS,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-STUDENTS,Loại quan hệ so sánh,Hội tụ về đặc điểm bối cảnh,analyst,Hội tụ về đặc điểm bối cảnh
Giáo viên,00_CONTEXT,CTX-STUDENTS,Mức độ bằng chứng,Mạnh (4/5 trường; 9/9 nguồn GV; TrD 0 nguồn),analyst,Mạnh (4/5 trường; 9/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-STUDENTS,Diễn giải học thuật,"Đối chiếu GV cho thấy quy mô học sinh có độ phủ 4/5 trường, tương ứng 9/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy quy mô học sinh có độ phủ 4/5 trường, tương ứng 9/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-TEACHERS,Điểm hội tụ liên trường,3/4 trường có nguồn GV cung cấp dữ liệu về quy mô giáo viên.,analyst,3/4 trường có nguồn GV cung cấp dữ liệu về quy mô giáo viên.
Giáo viên,00_CONTEXT,CTX-TEACHERS,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-TEACHERS,Loại quan hệ so sánh,Hội tụ một phần về bối cảnh,analyst,Hội tụ một phần về bối cảnh
Giáo viên,00_CONTEXT,CTX-TEACHERS,Mức độ bằng chứng,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-TEACHERS,Diễn giải học thuật,"Đối chiếu GV cho thấy quy mô giáo viên có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy quy mô giáo viên có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-LEVELS,Điểm hội tụ liên trường,Cả 4 trường có nguồn GV đều cung cấp dữ liệu về các cấp học.,analyst,Cả 4 trường có nguồn GV đều cung cấp dữ liệu về các cấp học.
Giáo viên,00_CONTEXT,CTX-LEVELS,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-LEVELS,Loại quan hệ so sánh,Hội tụ về đặc điểm bối cảnh,analyst,Hội tụ về đặc điểm bối cảnh
Giáo viên,00_CONTEXT,CTX-LEVELS,Mức độ bằng chứng,Mạnh (4/5 trường; 9/9 nguồn GV; TrD 0 nguồn),analyst,Mạnh (4/5 trường; 9/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-LEVELS,Diễn giải học thuật,"Đối chiếu GV cho thấy các cấp học có độ phủ 4/5 trường, tương ứng 9/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy các cấp học có độ phủ 4/5 trường, tương ứng 9/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-PROGRAM,Điểm hội tụ liên trường,"Cả bốn trường có nguồn GV đều vận hành nhiều chương trình hoặc hệ học, kết hợp chương trình Việt Nam với cấu phần quốc tế.",analyst,"Cả bốn trường có nguồn GV đều vận hành nhiều chương trình hoặc hệ học, kết hợp chương trình Việt Nam với cấu phần quốc tế."
Giáo viên,00_CONTEXT,CTX-PROGRAM,Điểm phân kì liên trường,"Mô hình khác nhau: hệ song song, chương trình quốc tế riêng, tích hợp một phần và lộ trình chứng chỉ quốc tế; TrD không có nguồn GV.",analyst,"Mô hình khác nhau: hệ song song, chương trình quốc tế riêng, tích hợp một phần và lộ trình chứng chỉ quốc tế; TrD không có nguồn GV."
Giáo viên,00_CONTEXT,CTX-PROGRAM,Phân kì nội trường,TrB: một phần; TrE: một phần,analyst,TrB: một phần; TrE: một phần
Giáo viên,00_CONTEXT,CTX-PROGRAM,Loại quan hệ so sánh,Hội tụ rõ về đa chương trình + phân kì mô hình,analyst,Hội tụ rõ về đa chương trình + phân kì mô hình
Giáo viên,00_CONTEXT,CTX-PROGRAM,Mức độ bằng chứng,Mạnh (4/5 trường; 7/9 nguồn GV; TrD 0 nguồn),analyst,Mạnh (4/5 trường; 7/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-PROGRAM,Diễn giải học thuật,"Đa chương trình là nền bối cảnh trực tiếp của các vấn đề căn chỉnh đầu ra, phân công giáo viên, giao tiếp liên chương trình và bảo đảm chất lượng.",analyst,"Đa chương trình là nền bối cảnh trực tiếp của các vấn đề căn chỉnh đầu ra, phân công giáo viên, giao tiếp liên chương trình và bảo đảm chất lượng."
Giáo viên,00_CONTEXT,CTX-BILINGUAL,Điểm hội tụ liên trường,Cả 4 trường có nguồn GV đều cung cấp dữ liệu về chương trình song ngữ.,analyst,Cả 4 trường có nguồn GV đều cung cấp dữ liệu về chương trình song ngữ.
Giáo viên,00_CONTEXT,CTX-BILINGUAL,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-BILINGUAL,Loại quan hệ so sánh,Hội tụ về đặc điểm bối cảnh,analyst,Hội tụ về đặc điểm bối cảnh
Giáo viên,00_CONTEXT,CTX-BILINGUAL,Mức độ bằng chứng,Mạnh (4/5 trường; 7/9 nguồn GV; TrD 0 nguồn),analyst,Mạnh (4/5 trường; 7/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-BILINGUAL,Diễn giải học thuật,"Đối chiếu GV cho thấy chương trình song ngữ có độ phủ 4/5 trường, tương ứng 7/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy chương trình song ngữ có độ phủ 4/5 trường, tương ứng 7/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-INTEGRATED,Điểm hội tụ liên trường,3/4 trường có nguồn GV cung cấp dữ liệu về chương trình tích hợp.,analyst,3/4 trường có nguồn GV cung cấp dữ liệu về chương trình tích hợp.
Giáo viên,00_CONTEXT,CTX-INTEGRATED,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-INTEGRATED,Phân kì nội trường,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.,analyst,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.
Giáo viên,00_CONTEXT,CTX-INTEGRATED,Loại quan hệ so sánh,Hội tụ một phần về bối cảnh,analyst,Hội tụ một phần về bối cảnh
Giáo viên,00_CONTEXT,CTX-INTEGRATED,Mức độ bằng chứng,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-INTEGRATED,Diễn giải học thuật,"Đối chiếu GV cho thấy chương trình tích hợp có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy chương trình tích hợp có độ phủ 3/5 trường, tương ứng 4/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-INTERNATIONAL,Điểm hội tụ liên trường,3/4 trường có nguồn GV cung cấp dữ liệu về chương trình quốc tế.,analyst,3/4 trường có nguồn GV cung cấp dữ liệu về chương trình quốc tế.
Giáo viên,00_CONTEXT,CTX-INTERNATIONAL,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-INTERNATIONAL,Loại quan hệ so sánh,Hội tụ một phần về bối cảnh,analyst,Hội tụ một phần về bối cảnh
Giáo viên,00_CONTEXT,CTX-INTERNATIONAL,Mức độ bằng chứng,Khá (3/5 trường; 7/9 nguồn GV; TrD 0 nguồn),analyst,Khá (3/5 trường; 7/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-INTERNATIONAL,Diễn giải học thuật,"Đối chiếu GV cho thấy chương trình quốc tế có độ phủ 3/5 trường, tương ứng 7/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn.",analyst,"Đối chiếu GV cho thấy chương trình quốc tế có độ phủ 3/5 trường, tương ứng 7/9 nguồn GV. Đây là biến bối cảnh giúp giải thích khác biệt về trải nghiệm, quyền tiếp cận và điều kiện vận hành. TrD không có nguồn GV; kết luận liên trường chỉ dựa trên TrA, TrB, TrC và TrE. TrB có nhiều nguồn hơn nhưng không được mặc định có trọng số cấp trường lớn hơn."
Giáo viên,00_CONTEXT,CTX-SPECIAL-FEATURE,Điểm hội tụ liên trường,2/4 trường có nguồn GV cung cấp dữ liệu về đặc điểm đặc thù.,analyst,2/4 trường có nguồn GV cung cấp dữ liệu về đặc điểm đặc thù.
Giáo viên,00_CONTEXT,CTX-SPECIAL-FEATURE,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-SPECIAL-FEATURE,Phân kì nội trường,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.,analyst,Không ghi nhận phân kì nội trường rõ trong TrB/TrE từ các nguồn hiện có.
Giáo viên,00_CONTEXT,CTX-SPECIAL-FEATURE,Mức độ bằng chứng,Trung bình (2/5 trường; 2/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (2/5 trường; 2/9 nguồn GV; TrD 0 nguồn)
